unique_id,ds,y
D1,1,2119.2865204956574
D2,1,3051.862065244604
D3,1,1153.271924289714
D4,1,1273.7473867741494
D5,1,6020.299145114072
D6,1,3226.176950082746
D7,1,6017.769982137634
D8,1,1744.9205162106139
D9,1,1705.2015551239804
D10,1,2743.6899504679573
D11,1,2507.267522675762
D12,1,3760.6929429279644
D13,1,7283.240972852949
D14,1,5773.313339807734
D15,1,7854.282447339016
D16,1,3093.641074533184
D17,1,4214.5759444298355
D18,1,9595.876598453924
D19,1,2768.3650281142286
D20,1,10972.98968231855
D21,1,2840.992104603305
D22,1,3030.5191958097193
D23,1,2006.8962927932234
D24,1,2679.345402380734
D25,1,1640.2109640343967
D26,1,2491.0082839542247
D27,1,1855.1556748158423
D28,1,508.012333241821
D29,1,6528.659444927213
D30,1,640.6398301414002
D31,1,2305.4971457519355
D32,1,2095.27809590389
D33,1,6745.861827891891
D34,1,2288.8883318712087
D35,1,1766.1684133363005
D36,1,3881.027658283492
D37,1,2480.3715437001433
D38,1,2460.293016093269
D39,1,2601.663909491228
D40,1,4080.4310831215375
D41,1,6450.814220060282
D42,1,7058.07210614479
D43,1,1224.029573081815
D44,1,8694.555622377746
D45,1,1290.507201785119
D46,1,10305.942342988248
D47,1,1212.1104403379884
D48,1,10553.62515892136
D49,1,11040.78090517929
D50,1,9977.188823083514
D51,1,1195.3300452394608
D52,1,2958.159211360861
D53,1,1110.0748420443679
D54,1,2905.306944757657
D55,1,1143.363692319964
D56,1,10552.568249075704
D57,1,1843.078926770598
D58,1,1847.5894890793757
D59,1,4868.786926515216
D60,1,4111.611629737369
D61,1,3626.487868807336
D62,1,5609.9564872939
D63,1,4942.470089468271
D64,1,1066.355091951194
D65,1,3593.035135801337
D66,1,1425.0796258142138
D67,1,5307.126220252912
D68,1,5547.494665928454
D69,1,3973.7080857471497
D70,1,4159.232358166406
D71,1,2733.4354641170517
D72,1,2046.8921527683124
D73,1,1051.4357005922911
D74,1,1725.9385755467674
D75,1,1746.5562234049328
D76,1,1883.6397077877286
D77,1,2016.8370039147633
D78,1,3256.3888754821123
D79,1,10033.790512954498
D80,1,2652.7320061189007
D81,1,1713.3610336610648
D82,1,1201.1512129876385
D83,1,3034.7194381470276
D84,1,1906.671428508619
D85,1,6274.942019260911
D86,1,7083.539401436032
D87,1,2159.2904336425195
D88,1,2337.150606013914
D89,1,2021.2713965030598
D90,1,2092.3239286594153
D91,1,2214.6314725532434
D92,1,2109.2777926446565
D93,1,2308.47808430227
D94,1,2184.6117546152273
D95,1,2116.4485752417163
D96,1,2173.39905407165
D97,1,2144.855234366165
D98,1,1911.8779494407654
D99,1,9821.336565936923
D100,1,1047.5541718003292
D101,1,11985.895124438734
D102,1,1618.332734345774
D103,1,7350.109134387344
D104,1,9371.289920064279
D105,1,11166.867764423389
D106,1,1015.9134521465421
D107,1,1057.9321666603873
D108,1,1431.4122311175506
D109,1,1404.545176839168
D110,1,1511.1179283594531
D111,1,9436.199664949421
D112,1,7125.112123977218
D113,1,7692.01677826269
D114,1,6378.389236998166
D115,1,8295.967525347714
D116,1,7312.040837574237
D117,1,1511.1768084692726
D118,1,9147.028461198192
D119,1,9131.047862161804
D120,1,5249.043956927004
D121,1,6972.985791485324
D122,1,5650.464765614778
D123,1,9576.023470466194
D124,1,1120.8971763767852
D125,1,716.9208913910335
D126,1,1101.8078247711098
D127,1,10699.35361009593
D128,1,2002.947691693627
D129,1,11816.27512013962
D130,1,5738.927951653685
D131,1,11158.814400544628
D132,1,11103.708836553182
D133,1,8049.074725180339
D134,1,860.7408694895735
D135,1,8111.78586885588
D136,1,3064.4235341320177
D137,1,3043.5337500616815
D138,1,3097.570929168096
D139,1,7063.750104955675
D140,1,4615.302816465242
D141,1,1177.6665275892485
D142,1,1438.04789137883
D143,1,1411.3767471562962
D144,1,6543.626307462552
D145,1,8118.368241489404
D146,1,428.03437765893284
D147,1,617.9432483688794
D148,1,12575.736870378498
D149,1,10214.476299361893
D150,1,1681.5943077033742
D151,1,6420.01600336002
D152,1,7461.791153596558
D153,1,10431.338527713813
D154,1,10238.074749717915
D155,1,13470.673947287689
D156,1,20152.825022757574
D157,1,24995.08031877657
D158,1,1354.2907546651004
D159,1,7274.001873567582
D160,1,13869.90498690804
D161,1,22305.42841711735
D162,1,20830.601639863315
D163,1,17518.8647734561
D164,1,9883.963595677946
D165,1,10595.610761318416
D166,1,3566.6203318781013
D167,1,6529.763966552391
D168,1,1257.5016190258928
D169,1,1284.0416869447404
D170,1,8854.987246817374
D171,1,8903.240407477095
D172,1,8886.024302564603
D173,1,8758.891993869487
D174,1,1138.7879881841914
D175,1,1218.9779810338503
D176,1,10416.93299293055
D177,1,10035.789788068496
D178,1,10211.445058897549
D179,1,6245.675963451193
D180,1,6394.657583644855
D181,1,6309.748149562876
D182,1,6230.085921846067
D183,1,10081.813055554527
D184,1,10265.095520497005
D185,1,10107.583533683952
D186,1,10265.87107324852
D187,1,9832.038188935547
D188,1,9517.857888775874
D189,1,9618.745321183555
D190,1,10350.930589720403
D191,1,10128.102151746298
D192,1,10264.051963004558
D193,1,1417.7695579271133
D194,1,1474.4736170113933
D195,1,1395.9360192502245
D196,1,1497.1819418846314
D197,1,7007.449151626216
D198,1,6941.698200521948
D199,1,7005.034325573674
D200,1,7087.476899498833
D201,1,7006.827506161544
D202,1,1311.4354124361384
D203,1,1252.8969814770758
D204,1,1382.8083774005486
D205,1,8766.025489698213
D206,1,8791.943085426286
D207,1,8698.389997146893
D208,1,9464.989984349233
D209,1,9562.504082563388
D210,1,9316.227208205833
D211,1,9390.31090317954
D212,1,1321.7359137314004
D213,1,1275.03598614903
D214,1,1238.4687012125935
D215,1,1289.0369793019547
D216,1,6939.053435464358
D217,1,6268.945121107623
D218,1,6405.421127439942
D219,1,6239.997570128664
D220,1,6458.955207566968
D221,1,6981.651353468999
D222,1,825.7688149308732
D223,1,1334.4124049334737
D224,1,1269.8853880890965
D225,1,1406.224151899948
D226,1,1294.2260085489947
D227,1,1283.6876199669307
D228,1,1263.6913646346354
D229,1,1342.1857039529425
D230,1,1408.4571956853822
D231,1,1521.6364699714109
D232,1,1568.0893395788019
D233,1,1629.1577949835291
D234,1,1675.9686795084615
D235,1,1283.7175498841996
D236,1,1279.3257661826078
D237,1,1227.8964489508821
D238,1,1197.2973931434362
D239,1,1531.683309555716
D240,1,1547.6252586215405
D241,1,1501.5033544434082
D242,1,1586.8701279553723
D243,1,1517.4790263357906
D244,1,1535.297324488803
D245,1,1477.3612505812562
D246,1,1342.7068332785248
D247,1,1442.1477685607756
D248,1,1283.353238903324
D249,1,1324.3391251968442
D250,1,1235.5479045792679
D251,1,1360.0561704071208
D252,1,1257.9774928241397
D253,1,1293.4070432797303
D254,1,1307.392559080936
D255,1,1383.7651102903735
D256,1,1233.7764764098092
D257,1,1305.653593089589
D258,1,1313.214725711326
D259,1,1268.7889801450053
D260,1,1165.9201451520707
D261,1,1197.5179442324875
D262,1,1223.4392021218523
D263,1,1315.4857202156134
D264,1,1263.414536099324
D265,1,1292.4303868199052
D266,1,1085.2624091511914
D267,1,1198.6906080245287
D268,1,1181.4985558440014
D269,1,1126.76217939577
D270,1,1303.956361412862
D271,1,1397.6509976955795
D272,1,1328.7683212881673
D273,1,1354.1527956023938
D274,1,1301.7658458702801
D275,1,1209.111551168326
D276,1,1227.4217447906296
D277,1,1267.6271498366866
D278,1,1107.8147726218867
D279,1,1123.3878184776966
D280,1,1183.705576418541
D281,1,1292.2371143625874
D282,1,1146.1759373782177
D283,1,1119.8554788200631
D284,1,1088.1772971222244
D285,1,1181.4594571223402
D286,1,1424.3506459710304
D287,1,1310.5290470370253
D288,1,1448.6437921864115
D289,1,1418.1078062629003
D290,1,10099.016392691468
D291,1,10010.484466541833
D292,1,9961.7692921559
D293,1,9955.132902859725
D294,1,10479.442543386776
D295,1,8730.48768152144
D296,1,8756.785010963287
D297,1,8731.490580311705
D298,1,8712.872504161061
D299,1,9687.093851811433
D300,1,9652.358067518537
D301,1,9789.5650367463
