item_id,sku_id,dept_id,cat_id,store_id,state_id
FOODS_1_001_CA_1,FOODS_1_001,FOODS_1,FOODS,CA_1,CA
FOODS_1_001_CA_2,FOODS_1_001,FOODS_1,FOODS,CA_2,CA
FOODS_1_001_CA_3,FOODS_1_001,FOODS_1,FOODS,CA_3,CA
FOODS_1_001_CA_4,FOODS_1_001,FOODS_1,FOODS,CA_4,CA
FOODS_1_001_TX_1,FOODS_1_001,FOODS_1,FOODS,TX_1,TX
FOODS_1_001_TX_2,FOODS_1_001,FOODS_1,FOODS,TX_2,TX
FOODS_1_001_TX_3,FOODS_1_001,FOODS_1,FOODS,TX_3,TX
FOODS_1_001_WI_1,FOODS_1_001,FOODS_1,FOODS,WI_1,WI
FOODS_1_001_WI_2,FOODS_1_001,FOODS_1,FOODS,WI_2,WI
FOODS_1_001_WI_3,FOODS_1_001,FOODS_1,FOODS,WI_3,WI
FOODS_1_002_CA_1,FOODS_1_002,FOODS_1,FOODS,CA_1,CA
FOODS_1_002_CA_2,FOODS_1_002,FOODS_1,FOODS,CA_2,CA
FOODS_1_002_CA_3,FOODS_1_002,FOODS_1,FOODS,CA_3,CA
FOODS_1_002_CA_4,FOODS_1_002,FOODS_1,FOODS,CA_4,CA
FOODS_1_002_TX_1,FOODS_1_002,FOODS_1,FOODS,TX_1,TX
FOODS_1_002_TX_2,FOODS_1_002,FOODS_1,FOODS,TX_2,TX
FOODS_1_002_TX_3,FOODS_1_002,FOODS_1,FOODS,TX_3,TX
FOODS_1_002_WI_1,FOODS_1_002,FOODS_1,FOODS,WI_1,WI
FOODS_1_002_WI_2,FOODS_1_002,FOODS_1,FOODS,WI_2,WI
FOODS_1_002_WI_3,FOODS_1_002,FOODS_1,FOODS,WI_3,WI
FOODS_1_003_CA_1,FOODS_1_003,FOODS_1,FOODS,CA_1,CA
FOODS_1_003_CA_2,FOODS_1_003,FOODS_1,FOODS,CA_2,CA
FOODS_1_003_CA_3,FOODS_1_003,FOODS_1,FOODS,CA_3,CA
FOODS_1_003_CA_4,FOODS_1_003,FOODS_1,FOODS,CA_4,CA
FOODS_1_003_TX_1,FOODS_1_003,FOODS_1,FOODS,TX_1,TX
FOODS_1_003_TX_2,FOODS_1_003,FOODS_1,FOODS,TX_2,TX
FOODS_1_003_TX_3,FOODS_1_003,FOODS_1,FOODS,TX_3,TX
FOODS_1_003_WI_1,FOODS_1_003,FOODS_1,FOODS,WI_1,WI
