dataset,metric,model,value
m3_monthly,mase,amazon/chronos-t5-large,0.8541710684989013
m3_monthly,scaled_crps,amazon/chronos-t5-large,0.0833593793796016
m3_monthly,smape,amazon/chronos-t5-large,0.0695641335367006
m3_monthly,time,amazon/chronos-t5-large,79.10404253005981
m1_yearly,mase,amazon/chronos-t5-large,4.329348857560869
m1_yearly,scaled_crps,amazon/chronos-t5-large,0.11683075157481543
m1_yearly,smape,amazon/chronos-t5-large,0.10748134133822763
m1_yearly,time,amazon/chronos-t5-large,3.7974660396575928
m1_quarterly,mase,amazon/chronos-t5-large,1.7303111551724044
m1_quarterly,scaled_crps,amazon/chronos-t5-large,0.08904619558105414
m1_quarterly,smape,amazon/chronos-t5-large,0.08660486232480172
m1_quarterly,time,amazon/chronos-t5-large,6.024843215942383
ercot,mase,amazon/chronos-t5-large,0.5778817869722843
ercot,scaled_crps,amazon/chronos-t5-large,0.017247304254136613
ercot,smape,amazon/chronos-t5-large,0.012218120624311268
ercot,time,amazon/chronos-t5-large,3.6663310527801514
exchange_rate,mase,amazon/chronos-t5-large,1.8815982863307
exchange_rate,scaled_crps,amazon/chronos-t5-large,0.011261419503427093
exchange_rate,smape,amazon/chronos-t5-large,0.005892164263059385
exchange_rate,time,amazon/chronos-t5-large,3.6128151416778564
m3_other,mase,amazon/chronos-t5-large,0.8446019127022946
m3_other,scaled_crps,amazon/chronos-t5-large,0.033252781494337066
m3_other,smape,amazon/chronos-t5-large,0.02435111023228744
m3_other,time,amazon/chronos-t5-large,5.050534009933472
covid_deaths,mase,amazon/chronos-t5-large,6.540420177331391
covid_deaths,scaled_crps,amazon/chronos-t5-large,0.05000601799680783
covid_deaths,smape,amazon/chronos-t5-large,0.2048093812365988
covid_deaths,time,amazon/chronos-t5-large,32.048961877822876
m3_quarterly,mase,amazon/chronos-t5-large,1.1699086520278816
m3_quarterly,scaled_crps,amazon/chronos-t5-large,0.06558909396420755
m3_quarterly,smape,amazon/chronos-t5-large,0.04831671715645051
m3_quarterly,time,amazon/chronos-t5-large,14.497030258178711
tourism_yearly,mase,amazon/chronos-t5-large,3.641191448786199
tourism_yearly,scaled_crps,amazon/chronos-t5-large,0.12559351425109963
tourism_yearly,smape,amazon/chronos-t5-large,0.20684644159623583
tourism_yearly,time,amazon/chronos-t5-large,5.982032537460327
dominick,mase,amazon/chronos-t5-large,0.7855271311120259
dominick,scaled_crps,amazon/chronos-t5-large,0.4138298614997402
dominick,smape,amazon/chronos-t5-large,0.8093262418074376
dominick,time,amazon/chronos-t5-large,8661.922306776047
tourism_monthly,mase,amazon/chronos-t5-large,1.7829962905313148
tourism_monthly,scaled_crps,amazon/chronos-t5-large,0.08218746544196008
tourism_monthly,smape,amazon/chronos-t5-large,0.12143863578545835
tourism_monthly,time,amazon/chronos-t5-large,55.71734046936035
m5,mase,amazon/chronos-t5-large,1.4327822089856717
m5,scaled_crps,amazon/chronos-t5-large,0.5353117334306452
m5,smape,amazon/chronos-t5-large,0.8180890644783513
m5,time,amazon/chronos-t5-large,8071.687526464462
ett_small_1h,mase,amazon/chronos-t5-large,0.7365990685565131
ett_small_1h,scaled_crps,amazon/chronos-t5-large,0.08317510637370239
ett_small_1h,smape,amazon/chronos-t5-large,0.09133747080340981
ett_small_1h,time,amazon/chronos-t5-large,4.607346773147583
cif_2016,mase,amazon/chronos-t5-large,0.9861291429648796
cif_2016,scaled_crps,amazon/chronos-t5-large,0.014554201291198908
cif_2016,smape,amazon/chronos-t5-large,0.07423463994766483
cif_2016,time,amazon/chronos-t5-large,3.7441463470458984
hospital,mase,amazon/chronos-t5-large,0.8103417661113875
hospital,scaled_crps,amazon/chronos-t5-large,0.05880596129074619
hospital,smape,amazon/chronos-t5-large,0.09283398069693881
hospital,time,amazon/chronos-t5-large,20.41531729698181
m4_quarterly,mase,amazon/chronos-t5-large,1.2179168262217814
m4_quarterly,scaled_crps,amazon/chronos-t5-large,0.06765912107430479
m4_quarterly,smape,amazon/chronos-t5-large,0.0533960522739726
m4_quarterly,time,amazon/chronos-t5-large,2403.95582985878
weather,mase,amazon/chronos-t5-large,0.5654185444881801
weather,scaled_crps,amazon/chronos-t5-large,0.12153738148186884
weather,smape,amazon/chronos-t5-large,0.3273750645950115
weather,time,amazon/chronos-t5-large,873.384271144867
ett_small_15min,mase,amazon/chronos-t5-large,0.7138661688991955
ett_small_15min,scaled_crps,amazon/chronos-t5-large,0.08292574979238859
ett_small_15min,smape,amazon/chronos-t5-large,0.10993051934721214
ett_small_15min,time,amazon/chronos-t5-large,4.933484077453613
m4_yearly,mase,amazon/chronos-t5-large,3.5590691191434622
m4_yearly,scaled_crps,amazon/chronos-t5-large,0.0967065045169241
m4_yearly,smape,amazon/chronos-t5-large,0.08071124332923546
m4_yearly,time,amazon/chronos-t5-large,1027.8314299583435
m1_monthly,mase,amazon/chronos-t5-large,1.089237625319722
m1_monthly,scaled_crps,amazon/chronos-t5-large,0.1056958046574163
m1_monthly,smape,amazon/chronos-t5-large,0.07579902767632428
m1_monthly,time,amazon/chronos-t5-large,36.09512996673584
m3_yearly,mase,amazon/chronos-t5-large,3.062431984862616
m3_yearly,scaled_crps,amazon/chronos-t5-large,0.1105169432117772
m3_yearly,smape,amazon/chronos-t5-large,0.08930305241960888
m3_yearly,time,amazon/chronos-t5-large,9.447908878326416
car_parts_without_missing,mase,amazon/chronos-t5-large,0.8065868309292721
car_parts_without_missing,scaled_crps,amazon/chronos-t5-large,1.0591885276042903
car_parts_without_missing,smape,amazon/chronos-t5-large,0.9467189617360271
car_parts_without_missing,time,amazon/chronos-t5-large,61.37498164176941
traffic,mase,amazon/chronos-t5-large,0.6439855485666206
traffic,scaled_crps,amazon/chronos-t5-large,0.11541984120821774
traffic,smape,amazon/chronos-t5-large,0.07666738733180352
traffic,time,amazon/chronos-t5-large,202.267151594162
tourism_quarterly,mase,amazon/chronos-t5-large,1.636352795592795
tourism_quarterly,scaled_crps,amazon/chronos-t5-large,0.06029581122177019
tourism_quarterly,smape,amazon/chronos-t5-large,0.0809763833396224
tourism_quarterly,time,amazon/chronos-t5-large,12.612515926361084
nn5_daily_without_missing,mase,amazon/chronos-t5-large,0.8244190562415767
nn5_daily_without_missing,scaled_crps,amazon/chronos-t5-large,0.11889974128881899
nn5_daily_without_missing,smape,amazon/chronos-t5-large,0.10335051835522996
nn5_daily_without_missing,time,amazon/chronos-t5-large,57.015567779541016
australian_electricity_demand,mase,amazon/chronos-t5-large,1.1838738203048706
