unique_id,ds,yhat
102001,2021 Jun,292129.54513532005
102001,2021 Jul,297788.43532428145
102001,2021 Aug,303569.81421942916
102001,2021 Sep,309451.4572770834
394297,2021 Jun,181285.97435355047
394297,2021 Jul,181474.8275267523
394297,2021 Aug,181928.15942059906
394297,2021 Sep,182381.4913144458
394298,2021 Jun,268899.1448500833
394298,2021 Jul,272725.4771131369
394298,2021 Aug,276357.43097079
394298,2021 Sep,281253.86979082297
394299,2021 Jun,152670.1019512572
394299,2021 Jul,154308.10823763767
394299,2021 Aug,155566.20366901217
394299,2021 Sep,156843.07753550616
394300,2021 Jun,110353.68317059462
394300,2021 Jul,110110.77034937343
394300,2021 Aug,110047.6504544814
394300,2021 Sep,110037.09335861515
394302,2021 Jun,183390.67855766782
394302,2021 Jul,185338.27524147677
394302,2021 Aug,186958.61317593977
394302,2021 Sep,188512.98540746322
394304,2021 Jun,180821.39465862536
394304,2021 Jul,183117.04470743745
394304,2021 Aug,184992.92312774388
394304,2021 Sep,187180.81258071255
394305,2021 Jun,147900.14262805978
394305,2021 Jul,148936.3899127999
394305,2021 Aug,149659.01167971542
394305,2021 Sep,150381.6334466309
394306,2021 Jun,116368.24365871094
394306,2021 Jul,117229.923802291
394306,2021 Aug,117903.65914787634
394306,2021 Sep,118515.86616508696
394307,2021 Jun,340927.9687786711
394307,2021 Jul,345954.76601083984
394307,2021 Aug,350672.8362834634
394307,2021 Sep,355603.57622135174
394308,2021 Jun,236804.0555241594
394308,2021 Jul,239116.92117981205
394308,2021 Aug,241586.85702679673
394308,2021 Sep,244152.7394729067
394309,2021 Jun,210490.02278543892
394309,2021 Jul,212472.681405404
394309,2021 Aug,214523.1835705372
394309,2021 Sep,216516.83701323642
394310,2021 Jun,133667.96401738352
394310,2021 Jul,134093.8626936531
394310,2021 Aug,134787.9318262086
394310,2021 Sep,134805.86918282
394311,2021 Jun,158459.12233366596
394311,2021 Jul,159646.84822581138
394311,2021 Aug,161096.11968485813
394311,2021 Sep,162588.92010888353
394312,2021 Jun,259666.60510668086
394312,2021 Jul,264325.5037963607
394312,2021 Aug,268310.3285683077
394312,2021 Sep,272300.8067636704
394314,2021 Jun,160718.0520802889
394314,2021 Jul,161336.40142995823
394314,2021 Aug,161431.01644914484
394314,2021 Sep,161897.13045545158
394315,2021 Jun,257981.14978672378
394315,2021 Jul,261361.50192505828
394315,2021 Aug,264918.83036898915
394315,2021 Sep,268479.4517462462
394316,2021 Jun,102676.27797564318
394316,2021 Jul,101672.05795044133
394316,2021 Aug,101917.53559370902
394316,2021 Sep,102420.8578862796
394318,2021 Jun,260054.15728981618
394318,2021 Jul,264393.8125982164
394318,2021 Aug,268239.77401488007
394318,2021 Sep,272016.5818064324
394319,2021 Jun,104653.32904271485
394319,2021 Jul,105550.60372644415
394319,2021 Aug,106305.22819189166
394319,2021 Sep,107059.85265733916
394320,2021 Jun,111619.48342320035
394320,2021 Jul,112092.26214511823
394320,2021 Aug,112433.54288419706
394320,2021 Sep,112719.14867797721
394321,2021 Jun,127505.58038680379
394321,2021 Jul,128250.32502035584
394321,2021 Aug,128464.11679676769
394321,2021 Sep,128677.9085731795
394322,2021 Jun,71673.95388883585
394322,2021 Jul,71931.92084821753
394322,2021 Aug,71807.86162287576
394322,2021 Sep,71662.42501061138
394323,2021 Jun,168295.32588003762
394323,2021 Jul,170452.6150536362
394323,2021 Aug,172805.96147906838
394323,2021 Sep,174917.21132836642
394324,2021 Jun,92066.16983359924
394324,2021 Jul,92630.2305431251
394324,2021 Aug,92921.13555528277
394324,2021 Sep,93101.75559147635
394325,2021 Jun,222681.3326855031
394325,2021 Jul,224879.3685053238
394325,2021 Aug,226120.01714076256
394325,2021 Sep,227273.89455601785
394326,2021 Jun,129820.80028132343
394326,2021 Jul,131345.95290433877
394326,2021 Aug,132686.73482028733
394326,2021 Sep,134133.95891055727
394327,2021 Jun,320764.549347189
394327,2021 Jul,321539.01576576475
394327,2021 Aug,322198.1313170127
394327,2021 Sep,322350.82303167006
394330,2021 Jun,187773.92810468865
394330,2021 Jul,188896.9973072394
394330,2021 Aug,189828.7538306401
394330,2021 Sep,190788.95407280675
394331,2021 Jun,196285.50461514542
394331,2021 Jul,197736.965855574
394331,2021 Aug,198934.202847273
394331,2021 Sep,200172.68772778916
394332,2021 Jun,338782.97438543895
394332,2021 Jul,342064.7220014008
394332,2021 Aug,345071.94793856936
394332,2021 Sep,348557.4264796168
394333,2021 Jun,122152.15490612575
394333,2021 Jul,123637.26523564932
394333,2021 Aug,125743.61334303788
394333,2021 Sep,127480.66706736396
394334,2021 Jun,223093.83799252642
394334,2021 Jul,225939.39243894772
394334,2021 Aug,228597.05802358955
394334,2021 Sep,231009.10286666223
394335,2021 Jun,152435.1565411881
394335,2021 Jul,154591.55854073985
394335,2021 Aug,156013.2332221195
394335,2021 Sep,157671.6671445346
394336,2021 Jun,100132.2008798323
394336,2021 Jul,100826.10646870887
394336,2021 Aug,101027.16512718194
394336,2021 Sep,101228.22378565502
394337,2021 Jun,95651.67137176619
394337,2021 Jul,95603.4157533295
394337,2021 Aug,95816.57734209367
394337,2021 Sep,96068.1500526006
394338,2021 Jun,330334.6173386505
394338,2021 Jul,336193.8342604736
394338,2021 Aug,341482.39673612406
394338,2021 Sep,346515.16075154266
394339,2021 Jun,158622.9217623216
394339,2021 Jul,159358.56824458984
394339,2021 Aug,160178.14117375086
394339,2021 Sep,161002.54381362227
394340,2021 Jun,124929.10821752377
394340,2021 Jul,125458.97596787264
394340,2021 Aug,126004.72755325517
394340,2021 Sep,126709.89214956887
394341,2021 Jun,432928.1473197655
394341,2021 Jul,449418.10712362686
394341,2021 Aug,467580.3028845865
394341,2021 Sep,489927.51993531233
394342,2021 Jun,101163.04030394535
394342,2021 Jul,101790.8570354533
394342,2021 Aug,102263.4532681284
394342,2021 Sep,102736.0495008035
394343,2021 Jun,153791.54789321468
394343,2021 Jul,154627.39373298566
394343,2021 Aug,155653.692344694
394343,2021 Sep,156717.65891827364
394344,2021 Jun,152196.97859699104
394344,2021 Jul,152949.6547755773
394344,2021 Aug,154183.08736539166
394344,2021 Sep,155394.7908514731
394345,2021 Jun,213127.01126324123
394345,2021 Jul,219503.0730120258
394345,2021 Aug,224740.27236254507
394345,2021 Sep,230683.4666335219
394346,2021 Jun,240522.49813718355
394346,2021 Jul,242676.25597836933
394346,2021 Aug,244493.1101500424
394346,2021 Sep,246381.33232902345
394347,2021 Jun,292213.0788207499
394347,2021 Jul,298114.37394215376
394347,2021 Aug,303857.7698641424
394347,2021 Sep,309575.99697660364
394348,2021 Jun,254080.22306281945
394348,2021 Jul,259892.5695322898
394348,2021 Aug,265976.51479164476
394348,2021 Sep,271805.27150709933
394349,2021 Jun,169219.11752065102
394349,2021 Jul,171152.86717322154
394349,2021 Aug,173007.28467163705
394349,2021 Sep,174544.12381101475
394350,2021 Jun,148362.506734278
394350,2021 Jul,148918.70226078306
394350,2021 Aug,149470.04713721995
394350,2021 Sep,150092.2153055796
394351,2021 Jun,226831.8211829286
394351,2021 Jul,227884.02461896715
394351,2021 Aug,228979.7949385659
394351,2021 Sep,230003.5941336737
394352,2021 Jun,182958.76818794553
394352,2021 Jul,185244.18895111402
394352,2021 Aug,187435.51138367102
394352,2021 Sep,189609.03804812784
394353,2021 Jun,235335.78686174436
394353,2021 Jul,242797.98398448835
394353,2021 Aug,249245.6349965636
394353,2021 Sep,255693.28600863885
394354,2021 Jun,153863.65256314503
394354,2021 Jul,154567.38071095955
394354,2021 Aug,156131.7315247609
394354,2021 Sep,157641.34377187566
394355,2021 Jun,474958.63480320945
394355,2021 Jul,495980.6578339144
394355,2021 Aug,516707.8108992579
394355,2021 Sep,536890.7833196834
394356,2021 Jun,111995.15686918415
394356,2021 Jul,112844.07040729796
394356,2021 Aug,113417.69318715249
394356,2021 Sep,113953.28503803554
394357,2021 Jun,278375.0127004481
394357,2021 Jul,282056.0970250756
394357,2021 Aug,285612.5896632508
394357,2021 Sep,289232.9327844541
394358,2021 Jun,337896.07901105937
394358,2021 Jul,341018.01936801884
394358,2021 Aug,344249.5033668041
394358,2021 Sep,347608.16033835383
394359,2021 Jun,201064.61570018152
394359,2021 Jul,204699.11388538632
394359,2021 Aug,208137.01763819403
394359,2021 Sep,211574.92139100173
394360,2021 Jun,224326.62411348676
394360,2021 Jul,225676.6712186546
394360,2021 Aug,226816.02291389162
394360,2021 Sep,227805.85786182852
394361,2021 Jun,572887.2557511986
394361,2021 Jul,589817.6599742048
394361,2021 Aug,603441.7625573953
394361,2021 Sep,616655.0764492541
394362,2021 Jun,286370.305836747
394362,2021 Jul,291684.4826554472
394362,2021 Aug,295474.20211743546
394362,2021 Sep,299656.00901807414
394363,2021 Jun,116414.08279343173
394363,2021 Jul,117324.03056247393
394363,2021 Aug,117597.04022922262
394363,2021 Sep,117845.80487515606
394364,2021 Jun,58220.91448738882
394364,2021 Jul,58267.28267867559
394364,2021 Aug,58470.37947560216
394364,2021 Sep,58559.336059669484
394365,2021 Jun,151596.29420056485
394365,2021 Jul,152921.01961557684
394365,2021 Aug,153868.6667825388
394365,2021 Sep,154933.04932939156
394366,2021 Jun,104823.19027391626
394366,2021 Jul,105164.62617738533
394366,2021 Aug,105755.49331291154
394366,2021 Sep,106290.90631460882
394367,2021 Jun,204317.4987423045
394367,2021 Jul,205793.40792577525
394367,2021 Aug,206624.77570894157
394367,2021 Sep,207625.13596167005
394368,2021 Jun,147514.9329765755
394368,2021 Jul,149197.51638917346
394368,2021 Aug,150772.79289785627
394368,2021 Sep,152195.26607953903
394369,2021 Jun,128803.10266293182
394369,2021 Jul,130030.70603696001
394369,2021 Aug,131325.65589806536
394369,2021 Sep,132581.3040223788
394370,2021 Jun,165094.99137261335
394370,2021 Jul,166140.7134195589
394370,2021 Aug,166875.73316291836
394370,2021 Sep,167654.29654594517
394371,2021 Jun,114268.5679657459
394371,2021 Jul,114654.70633623855
394371,2021 Aug,115089.1163084984
394371,2021 Sep,115568.76277195629
394372,2021 Jun,143036.82521211624
394372,2021 Jul,143544.87880031107
394372,2021 Aug,144146.0619825385
394372,2021 Sep,144747.24516476592
394373,2021 Jun,199903.7392745781
394373,2021 Jul,201315.85712507792
394373,2021 Aug,203010.47799642815
394373,2021 Sep,204388.61441765842
394374,2021 Jun,85520.08042571935
394374,2021 Jul,85803.66645074202
394374,2021 Aug,85991.820804621
394374,2021 Sep,86080.22611030228
394375,2021 Jun,128116.1583306255
394375,2021 Jul,128744.35549887833
394375,2021 Aug,129404.51755768829
394375,2021 Sep,130091.23408730807
394376,2021 Jun,132935.90292812535
394376,2021 Jul,133754.967713734
394376,2021 Aug,134461.17015226773
394376,2021 Sep,135123.43090256746
394377,2021 Jun,164438.38092830975
394377,2021 Jul,165257.52595476998
394377,2021 Aug,166185.42954165617
394377,2021 Sep,167115.68542847445
394378,2021 Jun,511244.7980468165
394378,2021 Jul,516052.3097412484
394378,2021 Aug,522988.0583563723
394378,2021 Sep,528651.9999794351
394379,2021 Jun,195744.9659452741
394379,2021 Jul,196769.70480192843
394379,2021 Aug,197578.81987128186
394379,2021 Sep,198285.68313590065
394380,2021 Jun,576885.0949595389
394380,2021 Jul,594040.949798367
394380,2021 Aug,610681.9244218939
394380,2021 Sep,626799.916286831
394381,2021 Jun,52641.44119469216
394381,2021 Jul,53103.733171788175
394381,2021 Aug,53334.887465544816
394381,2021 Sep,53560.631940839216
394382,2021 Jun,256920.47957719985
394382,2021 Jul,259928.94342036406
394382,2021 Aug,262355.20931743464
394382,2021 Sep,264764.5277687084
394383,2021 Jun,142407.0147445033
394383,2021 Jul,144273.43748916493
394383,2021 Aug,145746.92165986943
394383,2021 Sep,147220.40583057393
394384,2021 Jun,147057.963125802
394384,2021 Jul,148120.58010806842
394384,2021 Aug,149281.97672979254
394384,2021 Sep,150454.36390823947
394385,2021 Jun,125286.6431694105
394385,2021 Jul,126102.29726688683
394385,2021 Aug,126674.24813461074
394385,2021 Sep,127199.2899264558
394386,2021 Jun,299802.33638197416
394386,2021 Jul,303784.7084367231
394386,2021 Aug,305450.845199313
394386,2021 Sep,308569.5880338936
394387,2021 Jun,140971.66838525556
394387,2021 Jul,142680.10615613565
394387,2021 Aug,144078.7646195155
394387,2021 Sep,145382.35195791064
394388,2021 Jun,200646.3810061153
394388,2021 Jul,203093.24072682747
394388,2021 Aug,205196.5990896931
394388,2021 Sep,207317.45423078857
394390,2021 Jun,289225.26844458416
394390,2021 Jul,291217.94662569533
394390,2021 Aug,293010.63668177417
394390,2021 Sep,294551.3762476385
394391,2021 Jun,287401.5469313322
394391,2021 Jul,293247.69410557323
394391,2021 Aug,299181.67449989356
394391,2021 Sep,305357.45704615046
394392,2021 Jun,213042.06088587153
394392,2021 Jul,214344.31998109736
394392,2021 Aug,215577.82013929385
394392,2021 Sep,216730.88163925754
394393,2021 Jun,239524.14386959263
394393,2021 Jul,242352.68065182486
394393,2021 Aug,244964.25097279157
394393,2021 Sep,247547.34073419333
394395,2021 Jun,183036.75897550228
394395,2021 Jul,184583.48607267073
394395,2021 Aug,185982.76021030778
394395,2021 Sep,187203.2997077201
394396,2021 Jun,84429.79667775735
394396,2021 Jul,84704.77871859174
394396,2021 Aug,84912.11711884971
394396,2021 Sep,85140.46049962757
394397,2021 Jun,90110.61398121889
394397,2021 Jul,90778.53561435023
394397,2021 Aug,91087.80992693035
394397,2021 Sep,91045.46023384777
394398,2021 Jun,112004.88041179112
394398,2021 Jul,111436.29606432922
394398,2021 Aug,111679.11711738793
394398,2021 Sep,112020.44014348945
394399,2021 Jun,460474.7729370354
394399,2021 Jul,472986.43695661204
394399,2021 Aug,486010.25483651366
394399,2021 Sep,498955.2465421746
394401,2021 Jun,149813.65704140958
394401,2021 Jul,149936.1981656386
394401,2021 Aug,150370.1931796085
394401,2021 Sep,150633.7818915919
394402,2021 Jun,365027.3240382356
394402,2021 Jul,373998.72474837594
394402,2021 Aug,380934.8615645716
394402,2021 Sep,388737.4857826064
394403,2021 Jun,74685.04919028463
394403,2021 Jul,75017.71529907652
394403,2021 Aug,75197.20038358742
394403,2021 Sep,75397.13644905097
394404,2021 Jun,578538.8788644439
394404,2021 Jul,586378.1656274085
394404,2021 Aug,593836.5181895001
394404,2021 Sep,600911.3929451404
394405,2021 Jun,677523.962860048
394405,2021 Jul,699439.4776690842
394405,2021 Aug,720599.4474877876
394405,2021 Sep,742148.1323484138
394406,2021 Jun,176167.35923205793
394406,2021 Jul,177385.58208851086
394406,2021 Aug,179100.0910492243
394406,2021 Sep,180664.61435797077
394407,2021 Jun,580800.8321062563
394407,2021 Jul,592648.2102642324
394407,2021 Aug,599867.7302808802
394407,2021 Sep,613640.55224878
394409,2021 Jun,70563.79654095197
394409,2021 Jul,70730.63838517768
394409,2021 Aug,70736.82467928738
394409,2021 Sep,70831.31307773554
394410,2021 Jun,240001.53554569848
394410,2021 Jul,244635.51355062358
394410,2021 Aug,247536.64521622565
394410,2021 Sep,250964.55999706066
394411,2021 Jun,185460.27931337216
394411,2021 Jul,186374.0495717763
394411,2021 Aug,187296.30620851717
394411,2021 Sep,188215.35005994973
394412,2021 Jun,496411.9858342911
394412,2021 Jul,503795.14623224176
394412,2021 Aug,512379.7267790984
394412,2021 Sep,520764.4418631152
394413,2021 Jun,255426.19854185026
394413,2021 Jul,256343.78232537882
394413,2021 Aug,257217.03209708375
394413,2021 Sep,258090.28186878868
394414,2021 Jun,274311.26343083405
394414,2021 Jul,276001.4443798284
394414,2021 Aug,278248.15029602125
394414,2021 Sep,280444.19229462603
394415,2021 Jun,497851.6396714655
394415,2021 Jul,506673.51943523996
394415,2021 Aug,513521.41942251404
394415,2021 Sep,520973.7900529958
394417,2021 Jun,127351.24371332335
394417,2021 Jul,127778.46420550943
394417,2021 Aug,128089.49082059752
394417,2021 Sep,128442.72725321833
394418,2021 Jun,379680.7587298828
394418,2021 Jul,386306.0441341019
394418,2021 Aug,391794.79758828034
394418,2021 Sep,397218.081662537
394419,2021 Jun,222160.03995392125
394419,2021 Jul,223089.58972108568
394419,2021 Aug,224524.56305274737
394419,2021 Sep,225858.6536335232
394421,2021 Jun,129910.07752180679
394421,2021 Jul,132383.31133777325
394421,2021 Aug,134427.50477158415
394421,2021 Sep,136604.83701628612
394422,2021 Jun,122094.68715572428
394422,2021 Jul,122820.30511538552
394422,2021 Aug,123444.60324594485
394422,2021 Sep,124068.90137650417
394423,2021 Jun,218831.94162021508
394423,2021 Jul,220842.6460418198
394423,2021 Aug,222402.3979524214
394423,2021 Sep,223814.6776701529
394424,2021 Jun,94033.51898440985
394424,2021 Jul,94429.21673187606
394424,2021 Aug,94994.45865266446
394424,2021 Sep,95424.88697888884
394425,2021 Jun,203329.99637726747
394425,2021 Jul,202168.8168174877
394425,2021 Aug,202616.10936030088
394425,2021 Sep,203512.27147609153
394426,2021 Jun,240204.18534343265
394426,2021 Jul,244514.45211495692
394426,2021 Aug,248576.37933128228
394426,2021 Sep,252851.26887207746
394427,2021 Jun,105006.24464629409
394427,2021 Jul,104734.35982329423
394427,2021 Aug,104805.26543611485
394427,2021 Sep,105000.2012186146
394428,2021 Jun,194289.77544166072
394428,2021 Jul,198311.16030931447
394428,2021 Aug,201014.883712499
394428,2021 Sep,204521.75646666266
394429,2021 Jun,352137.33634538064
394429,2021 Jul,356751.78361449076
394429,2021 Aug,360661.4753656065
394429,2021 Sep,365056.11773944704
394430,2021 Jun,167517.64888320185
394430,2021 Jul,169321.1560081356
394430,2021 Aug,170807.39903098738
394430,2021 Sep,172340.39593817864
394431,2021 Jun,134399.7170639094
394431,2021 Jul,135144.92262035998
394431,2021 Aug,135773.1613043325
394431,2021 Sep,136462.26725915278
394432,2021 Jun,160965.17601515853
394432,2021 Jul,162335.61154502712
394432,2021 Aug,163538.11213048856
394432,2021 Sep,164726.834072756
394433,2021 Jun,165473.72509338456
394433,2021 Jul,166796.74032196967
394433,2021 Aug,167744.14087462175
394433,2021 Sep,168654.16502753214
394434,2021 Jun,119280.80839170888
394434,2021 Jul,119763.64523524353
394434,2021 Aug,120292.64600780077
394434,2021 Sep,120872.8997710795
394435,2021 Jun,59517.47387139719
394435,2021 Jul,59704.153636584844
394435,2021 Aug,59722.336431416625
394435,2021 Sep,59739.78051921421
394436,2021 Jun,113416.90216456955
394436,2021 Jul,114043.66755693234
394436,2021 Aug,114669.57903857545
394436,2021 Sep,115341.91247208233
394437,2021 Jun,267765.07134793955
394437,2021 Jul,269168.3500285214
394437,2021 Aug,269894.90679051226
394437,2021 Sep,271617.49104577425
394438,2021 Jun,76848.93056241333
394438,2021 Jul,77218.88810467208
394438,2021 Aug,77435.1353101217
394438,2021 Sep,77697.3704662614
394439,2021 Jun,165029.51712965005
394439,2021 Jul,167805.15105084336
394439,2021 Aug,170462.6727501559
394439,2021 Sep,173018.21165304352
394440,2021 Jun,292836.90360996727
394440,2021 Jul,301547.85213883896
394440,2021 Aug,309221.32667976565
394440,2021 Sep,317007.4118442212
394441,2021 Jun,174705.9675516208
394441,2021 Jul,176271.7941102517
394441,2021 Aug,177209.05851161812
394441,2021 Sep,178332.62372538907
394442,2021 Jun,106306.12717610272
394442,2021 Jul,106531.52068732092
394442,2021 Aug,106782.03301959822
394442,2021 Sep,107024.00473825932
394444,2021 Jun,417337.86340349383
394444,2021 Jul,431736.55076524604
394444,2021 Aug,445525.9657779787
394444,2021 Sep,459213.6460365952
394445,2021 Jun,237825.5923445289
394445,2021 Jul,239109.48027486427
394445,2021 Aug,239921.7781665987
394445,2021 Sep,240687.5278826277
394446,2021 Jun,322672.8490591869
394446,2021 Jul,328985.2697069454
394446,2021 Aug,334566.44588173635
394446,2021 Sep,340081.57913014246
394447,2021 Jun,177583.8972067287
394447,2021 Jul,179094.75509443408
394447,2021 Aug,180721.04555081658
394447,2021 Sep,182248.93952388642
394448,2021 Jun,121648.63961049916
394448,2021 Jul,123416.05671102044
394448,2021 Aug,124720.5534910939
394448,2021 Sep,125899.78772754478
394449,2021 Jun,180386.31046402577
394449,2021 Jul,181372.6260677504
394449,2021 Aug,182505.73550581443
394449,2021 Sep,183638.84494387847
394452,2021 Jun,234960.42473158363
394452,2021 Jul,237162.03144409455
394452,2021 Aug,239480.4439999865
394452,2021 Sep,242851.96292132436
394453,2021 Jun,213598.00704739423
394453,2021 Jul,216581.56561137654
394453,2021 Aug,219908.62178604852
394453,2021 Sep,223033.4875048825
394454,2021 Jun,160902.08994216984
394454,2021 Jul,162255.08804633108
394454,2021 Aug,163087.0636490683
394454,2021 Sep,163944.6672500259
394455,2021 Jun,109244.93313820969
394455,2021 Jul,109975.4973176241
394455,2021 Aug,110596.82532029171
394455,2021 Sep,111173.80417501283
394456,2021 Jun,92529.42424181405
394456,2021 Jul,93790.67283446521
394456,2021 Aug,94838.14290275231
394456,2021 Sep,95778.97379062108
394457,2021 Jun,322326.16011413
394457,2021 Jul,329070.76642091665
394457,2021 Aug,335658.1483536862
394457,2021 Sep,342210.61367863824
394458,2021 Jun,293870.05582382466
394458,2021 Jul,299962.8973842786
394458,2021 Aug,305818.5367580308
394458,2021 Sep,311817.09845792537
394459,2021 Jun,348564.9755388673
394459,2021 Jul,352460.81341524946
394459,2021 Aug,356262.53174461785
394459,2021 Sep,360223.8625278359
394460,2021 Jun,212533.67283421603
394460,2021 Jul,215955.60185825918
394460,2021 Aug,219048.4719081715
394460,2021 Sep,222206.0704791153
394462,2021 Jun,310985.5069679065
394462,2021 Jul,311949.11379853275
394462,2021 Aug,312515.5137620035
394462,2021 Sep,313176.6966203019
394463,2021 Jun,272202.8223512742
394463,2021 Jul,275158.8263137881
394463,2021 Aug,277976.5382494064
394463,2021 Sep,280607.33018324745
394464,2021 Jun,371828.4138647837
394464,2021 Jul,377196.15960545687
394464,2021 Aug,381923.09309955337
394464,2021 Sep,386685.25671474903
394465,2021 Jun,141390.72222306917
394465,2021 Jul,142145.2247045107
394465,2021 Aug,143005.5284471077
394465,2021 Sep,143836.4110378669
394466,2021 Jun,224592.3801377128
394466,2021 Jul,226936.10677699785
394466,2021 Aug,229180.63063220872
394466,2021 Sep,231340.3943847384
394468,2021 Jun,266048.7191003326
394468,2021 Jul,269998.0973339183
394468,2021 Aug,273554.48369533895
394468,2021 Sep,277071.1898258558
394469,2021 Jun,109352.6977533536
394469,2021 Jul,109939.27851719267
394469,2021 Aug,110282.09634917605
394469,2021 Sep,110621.31159637083
394471,2021 Jun,209993.25531153288
394471,2021 Jul,212339.10565152828
394471,2021 Aug,214770.31529487763
394471,2021 Sep,217154.75719730888
394472,2021 Jun,303298.7125962222
394472,2021 Jul,308098.5295462139
394472,2021 Aug,313666.8757182666
394472,2021 Sep,317701.52980295685
394474,2021 Jun,201676.0874584089
394474,2021 Jul,203741.2994937034
394474,2021 Aug,205748.64664910827
394474,2021 Sep,207897.07024067006
394475,2021 Jun,189851.2578370389
394475,2021 Jul,193078.8488090731
394475,2021 Aug,195612.99568052415
394475,2021 Sep,198172.19744444836
394476,2021 Jun,152734.79123948424
394476,2021 Jul,154950.941434928
394476,2021 Aug,156847.1029672377
394476,2021 Sep,158773.94706802958
394477,2021 Jun,137302.98523931965
394477,2021 Jul,139589.42212241972
394477,2021 Aug,139789.40566937937
394477,2021 Sep,138687.58130498388
394478,2021 Jun,NA
394478,2021 Jul,NA
394478,2021 Aug,NA
394478,2021 Sep,NA
394480,2021 Jun,490472.4091668236
394480,2021 Jul,505554.7452048246
394480,2021 Aug,515457.8612811165
394480,2021 Sep,522800.453748964
394481,2021 Jun,62832.2053828841
394481,2021 Jul,62775.32785933745
394481,2021 Aug,62663.88660242479
394481,2021 Sep,62545.35786126846
394482,2021 Jun,135265.00614711153
394482,2021 Jul,136175.62232496793
394482,2021 Aug,137025.43846983148
394482,2021 Sep,137908.11758443562
394483,2021 Jun,228800.86410663577
394483,2021 Jul,229787.55410896515
394483,2021 Aug,230628.42905107184
394483,2021 Sep,231418.41178992373
394484,2021 Jun,413397.64560046105
394484,2021 Jul,423422.01087177894
394484,2021 Aug,432512.47697270126
394484,2021 Sep,442824.75124947843
394485,2021 Jun,229887.66282822943
394485,2021 Jul,233365.83360160564
394485,2021 Aug,236701.16885075142
394485,2021 Sep,239597.58076605658
394486,2021 Jun,186899.81144569
394486,2021 Jul,189589.12538283115
394486,2021 Aug,191681.93316530273
