unique_id,ds,mlforecast_lr
102001,2021-06-30,291308.7122208523
102001,2021-07-31,295514.4044407616
102001,2021-08-31,299281.9889980695
102001,2021-09-30,303083.37436235236
394297,2021-06-30,181366.70362066018
394297,2021-07-31,181652.79364063876
394297,2021-08-31,182346.54954824882
394297,2021-09-30,183110.82737733895
394298,2021-06-30,268938.33457491646
394298,2021-07-31,272090.4450710202
394298,2021-08-31,276034.6444313033
394298,2021-09-30,279850.62005929
394299,2021-06-30,152719.86578386562
394299,2021-07-31,154494.26413457847
394299,2021-08-31,156007.42145235563
394299,2021-09-30,157557.49672622333
394300,2021-06-30,110668.12384335144
394300,2021-07-31,110887.34883958293
394300,2021-08-31,111440.62864743645
394300,2021-09-30,112073.09597880865
394302,2021-06-30,183247.04735121602
394302,2021-07-31,185098.54589068057
394302,2021-08-31,187089.41522610473
394302,2021-09-30,189144.05523438664
394304,2021-06-30,180849.95250431733
394304,2021-07-31,183124.64749175595
394304,2021-08-31,185056.15462695347
394304,2021-09-30,187160.32860385912
394305,2021-06-30,147941.29138927074
394305,2021-07-31,148994.95987128658
394305,2021-08-31,149850.52014538745
394305,2021-09-30,150615.61236784986
394306,2021-06-30,116330.39813925383
394306,2021-07-31,117220.07733445738
394306,2021-08-31,117949.38527912539
394306,2021-09-30,118684.81071459135
394307,2021-06-30,341233.825037833
394307,2021-07-31,346461.19128566486
394307,2021-08-31,350919.85701335955
394307,2021-09-30,355370.45368442696
394308,2021-06-30,236941.5011406383
394308,2021-07-31,239264.7823471586
394308,2021-08-31,241899.20466215262
394308,2021-09-30,244402.31653726572
394309,2021-06-30,210178.92092919262
394309,2021-07-31,211758.43109911034
394309,2021-08-31,213528.8863351746
394309,2021-09-30,215319.39611338178
394310,2021-06-30,133479.283660207
394310,2021-07-31,134795.7128224327
394310,2021-08-31,136200.19838660216
394310,2021-09-30,137556.80552141095
394311,2021-06-30,159358.15307107294
394311,2021-07-31,161411.72443648713
394311,2021-08-31,163562.3806473837
394311,2021-09-30,165762.68142437475
394312,2021-06-30,259052.20736692759
394312,2021-07-31,262896.8508493407
394312,2021-08-31,266395.40891127574
394312,2021-09-30,269879.32228311436
394314,2021-06-30,161051.9483405315
394314,2021-07-31,162035.9099688633
394314,2021-08-31,162762.82537706947
394314,2021-09-30,163665.75476796745
394315,2021-06-30,258630.51168951305
394315,2021-07-31,261384.44172380405
394315,2021-08-31,264142.9679625119
394315,2021-09-30,267504.6904421347
394316,2021-06-30,102915.44500540575
394316,2021-07-31,102021.16605379345
394316,2021-08-31,102034.94225989847
394316,2021-09-30,102261.64476984838
394318,2021-06-30,259699.6532122328
394318,2021-07-31,263460.50604969414
394318,2021-08-31,267022.37206469156
394318,2021-09-30,270478.31278311904
394319,2021-06-30,104612.73764283364
394319,2021-07-31,105399.59480737167
394319,2021-08-31,106226.9695448348
394319,2021-09-30,107079.20683735149
394320,2021-06-30,111713.0703320569
394320,2021-07-31,112358.69253140414
394320,2021-08-31,113016.77285330562
394320,2021-09-30,113753.09767515311
394321,2021-06-30,128261.40374276141
394321,2021-07-31,129653.67331386177
394321,2021-08-31,130813.24714338599
394321,2021-09-30,131840.47891375894
394322,2021-06-30,71607.22428535769
394322,2021-07-31,72138.14371168899
394322,2021-08-31,72601.34792111634
394322,2021-09-30,73097.41905411804
394323,2021-06-30,168077.69422918005
394323,2021-07-31,170051.44003900798
