unique_id,ds,historic_average,naive,random_walk_with_drift,ses_alpha-0.9,seasonal_naive_season_length-12,window_average_window_size-4
102001,2021-06-30,192416.8,286913.0,287535.44,286414.1,254714.0,280772.0
102001,2021-07-31,192416.8,286913.0,288157.88,286414.1,255816.0,280772.0
102001,2021-08-31,192416.8,286913.0,288780.3,286414.1,257737.0,280772.0
102001,2021-09-30,192416.8,286913.0,289402.75,286414.1,260253.0,280772.0
394297,2021-06-30,147702.16,181064.0,181405.62,181017.94,175141.0,179965.0
394297,2021-07-31,147702.16,181064.0,181747.23,181017.94,174971.0,179965.0
394297,2021-08-31,147702.16,181064.0,182088.86,181017.94,175131.0,179965.0
394297,2021-09-30,147702.16,181064.0,182430.47,181017.94,175146.0,179965.0
394298,2021-06-30,147196.47,264672.0,265553.2,264212.16,216587.0,257924.0
394298,2021-07-31,147196.47,264672.0,266434.38,264212.16,219923.0,257924.0
394298,2021-08-31,147196.47,264672.0,267315.56,264212.16,223616.0,257924.0
394298,2021-09-30,147196.47,264672.0,268196.72,264212.16,229006.0,257924.0
394299,2021-06-30,114886.51,150810.0,151135.2,150600.02,137936.0,148453.25
394299,2021-07-31,114886.51,150810.0,151460.42,150600.02,138916.0,148453.25
394299,2021-08-31,114886.51,150810.0,151785.62,150600.02,140079.0,148453.25
394299,2021-09-30,114886.51,150810.0,152110.84,150600.02,141424.0,148453.25
394300,2021-06-30,79456.09,110421.0,110640.5,110383.54,102473.0,109546.5
394300,2021-07-31,79456.09,110421.0,110859.99,110383.54,101936.0,109546.5
394300,2021-08-31,79456.09,110421.0,111079.484,110383.54,102772.0,109546.5
394300,2021-09-30,79456.09,110421.0,111298.984,110383.54,103683.0,109546.5
394302,2021-06-30,131716.47,180852.0,181116.25,180570.36,162846.0,177165.75
394302,2021-07-31,131716.47,180852.0,181380.5,180570.36,163853.0,177165.75
394302,2021-08-31,131716.47,180852.0,181644.77,180570.36,165622.0,177165.75
394302,2021-09-30,131716.47,180852.0,181909.02,180570.36,167768.0,177165.75
394304,2021-06-30,134092.44,178785.0,179021.77,178514.92,160044.0,175454.0
394304,2021-07-31,134092.44,178785.0,179258.53,178514.92,161031.0,175454.0
394304,2021-08-31,134092.44,178785.0,179495.3,178514.92,162372.0,175454.0
394304,2021-09-30,134092.44,178785.0,179732.06,178514.92,163650.0,175454.0
394305,2021-06-30,137082.38,146825.0,147537.03,146721.08,139334.0,145673.0
394305,2021-07-31,137082.38,146825.0,148249.08,146721.08,139850.0,145673.0
394305,2021-08-31,137082.38,146825.0,148961.11,146721.08,140515.0,145673.0
394305,2021-09-30,137082.38,146825.0,149673.14,146721.08,141027.0,145673.0
394306,2021-06-30,92934.44,115434.0,115590.43,115344.414,111227.0,114476.0
394306,2021-07-31,92934.44,115434.0,115746.86,115344.414,111329.0,114476.0
394306,2021-08-31,92934.44,115434.0,115903.29,115344.414,111168.0,114476.0
394306,2021-09-30,92934.44,115434.0,116059.72,115344.414,111004.0,114476.0
394307,2021-06-30,205366.66,335709.0,336574.8,335088.66,293935.0,328240.0
394307,2021-07-31,205366.66,335709.0,337440.62,335088.66,295735.0,328240.0
394307,2021-08-31,205366.66,335709.0,338306.47,335088.66,297662.0,328240.0
394307,2021-09-30,205366.66,335709.0,339172.28,335088.66,300256.0,328240.0
394308,2021-06-30,175241.23,234700.0,235194.06,234478.55,208812.0,231259.25
394308,2021-07-31,175241.23,234700.0,235688.14,234478.55,210102.0,231259.25
394308,2021-08-31,175241.23,234700.0,236182.22,234478.55,211456.0,231259.25
394308,2021-09-30,175241.23,234700.0,236676.28,234478.55,213382.0,231259.25
394309,2021-06-30,153377.16,208485.0,208841.19,208285.1,193881.0,205539.25
394309,2021-07-31,153377.16,208485.0,209197.38,208285.1,194459.0,205539.25
394309,2021-08-31,153377.16,208485.0,209553.56,208285.1,194673.0,205539.25
394309,2021-09-30,153377.16,208485.0,209909.75,208285.1,195209.0,205539.25
394310,2021-06-30,105877.34,131420.0,131804.16,131200.47,121409.0,128661.75
394310,2021-07-31,105877.34,131420.0,132188.33,131200.47,122113.0,128661.75
394310,2021-08-31,105877.34,131420.0,132572.48,131200.47,122490.0,128661.75
394310,2021-09-30,105877.34,131420.0,132956.64,131200.47,122875.0,128661.75
394311,2021-06-30,108501.42,157420.0,157811.25,157175.66,136451.0,153867.0
394311,2021-07-31,108501.42,157420.0,158202.5,157175.66,138861.0,153867.0
394311,2021-08-31,108501.42,157420.0,158593.75,157175.66,140594.0,153867.0
394311,2021-09-30,108501.42,157420.0,158985.0,157175.66,142061.0,153867.0
394312,2021-06-30,184117.48,255345.0,255834.3,254918.78,222187.0,249813.5
394312,2021-07-31,184117.48,255345.0,256323.61,254918.78,224053.0,249813.5
394312,2021-08-31,184117.48,255345.0,256812.9,254918.78,225897.0,249813.5
394312,2021-09-30,184117.48,255345.0,257302.22,254918.78,228349.0,249813.5
394314,2021-06-30,136739.44,160697.0,160938.97,160629.34,158382.0,159943.75
394314,2021-07-31,136739.44,160697.0,161180.95,160629.34,159647.0,159943.75
394314,2021-08-31,136739.44,160697.0,161422.94,160629.34,160330.0,159943.75
394314,2021-09-30,136739.44,160697.0,161664.9,160629.34,160996.0,159943.75
394315,2021-06-30,188070.33,256237.0,256627.95,255810.08,232307.0,250215.75
394315,2021-07-31,188070.33,256237.0,257018.89,255810.08,233538.0,250215.75
394315,2021-08-31,188070.33,256237.0,257409.84,255810.08,233937.0,250215.75
394315,2021-09-30,188070.33,256237.0,257800.8,255810.08,234937.0,250215.75
394316,2021-06-30,84083.375,103676.0,103868.445,103714.34,98125.0,103151.0
394316,2021-07-31,84083.375,103676.0,104060.89,103714.34,98174.0,103151.0
394316,2021-08-31,84083.375,103676.0,104253.336,103714.34,98099.0,103151.0
394316,2021-09-30,84083.375,103676.0,104445.78,103714.34,98662.0,103151.0
394318,2021-06-30,188388.31,255567.0,256101.27,255131.73,220297.0,250053.75
394318,2021-07-31,188388.31,255567.0,256635.53,255131.73,221754.0,250053.75
394318,2021-08-31,188388.31,255567.0,257169.78,255131.73,224182.0,250053.75
394318,2021-09-30,188388.31,255567.0,257704.05,255131.73,227163.0,250053.75
394319,2021-06-30,78736.836,103810.0,104087.66,103719.87,95055.0,102559.0
394319,2021-07-31,78736.836,103810.0,104365.31,103719.87,95358.0,102559.0
394319,2021-08-31,78736.836,103810.0,104642.97,103719.87,95936.0,102559.0
394319,2021-09-30,78736.836,103810.0,104920.625,103719.87,96551.0,102559.0
394320,2021-06-30,79187.484,111060.0,111265.11,110986.06,102648.0,110111.5
394320,2021-07-31,79187.484,111060.0,111470.23,110986.06,102542.0,110111.5
394320,2021-08-31,79187.484,111060.0,111675.34,110986.06,103023.0,110111.5
394320,2021-09-30,79187.484,111060.0,111880.45,110986.06,103672.0,110111.5
394321,2021-06-30,101484.89,126513.0,126721.41,126350.27,121897.0,124779.75
